p cnf 72 156
1 0
-2 0
-3 0
-4 0
-5 0
-6 0
-7 0
-8 0
-9 0
-10 0
-11 0
-12 0
-1 14 0
-2 15 0
-3 16 0
-4 17 0
-5 18 0
-6 19 0
-7 20 0
-8 21 0
-9 22 0
-10 23 0
-11 24 0
-12 13 0
-25 14 0
-26 15 0
-27 16 0
-28 17 0
-29 18 0
-30 19 0
-31 20 0
-32 21 0
-33 22 0
-34 23 0
-35 24 0
-36 13 0
-49 14 0
-50 15 0
-51 16 0
-52 17 0
-53 18 0
-54 19 0
-55 20 0
-56 21 0
-57 22 0
-58 23 0
-59 24 0
-60 13 0
-13 26 0
-14 27 0
-15 28 0
-16 29 0
-17 30 0
-18 31 0
-19 32 0
-20 33 0
-21 34 0
-22 35 0
-23 36 0
-24 25 0
-61 26 0
-62 27 0
-63 28 0
-64 29 0
-65 30 0
-66 31 0
-67 32 0
-68 33 0
-69 34 0
-70 35 0
-71 36 0
-72 25 0
-1 38 0
-2 39 0
-3 40 0
-4 41 0
-5 42 0
-6 43 0
-7 44 0
-8 45 0
-9 46 0
-10 47 0
-11 48 0
-12 37 0
-49 38 0
-50 39 0
-51 40 0
-52 41 0
-53 42 0
-54 43 0
-55 44 0
-56 45 0
-57 46 0
-58 47 0
-59 48 0
-60 37 0
-37 50 0
-38 51 0
-39 52 0
-40 53 0
-41 54 0
-42 55 0
-43 56 0
-44 57 0
-45 58 0
-46 59 0
-47 60 0
-48 49 0
-13 50 0
-14 51 0
-15 52 0
-16 53 0
-17 54 0
-18 55 0
-19 56 0
-20 57 0
-21 58 0
-22 59 0
-23 60 0
-24 49 0
-61 50 0
-62 51 0
-63 52 0
-64 53 0
-65 54 0
-66 55 0
-67 56 0
-68 57 0
-69 58 0
-70 59 0
-71 60 0
-72 49 0
-49 62 0
-50 63 0
-51 64 0
-52 65 0
-53 66 0
-54 67 0
-55 68 0
-56 69 0
-57 70 0
-58 71 0
-59 72 0
-60 61 0
-25 62 0
-26 63 0
-27 64 0
-28 65 0
-29 66 0
-30 67 0
-31 68 0
-32 69 0
-33 70 0
-34 71 0
-35 72 0
-36 61 0
